Strategy,Year,OutputActivityRatio
BAU,,
BAU,2015,0.963
BAU,2016,0.963
BAU,2017,0.963
BAU,2018,0.963
BAU,2019,0.963
BAU,2020,0.963
BAU,2021,0.963
BAU,2022,0.968
BAU,2023,0.974
BAU,2024,0.979
BAU,2025,0.984
BAU,2026,0.989
BAU,2027,0.995
BAU,2028,1
BAU,2029,1.005
BAU,2030,1.01
BAU,2031,1.016
BAU,2032,1.021
BAU,2033,1.026
BAU,2034,1.032
BAU,2035,1.037
BAU,2036,1.042
BAU,2037,1.047
BAU,2038,1.053
BAU,2039,1.058
BAU,2040,1.063
BAU,2041,1.069
BAU,2042,1.074
BAU,2043,1.079
BAU,2044,1.084
BAU,2045,1.09
BAU,2046,1.095
BAU,2047,1.1
BAU,2048,1.105
BAU,2049,1.111
BAU,2050,1.116
NDP,,
NDP,2015,0.963
NDP,2016,0.963
NDP,2017,0.963
NDP,2018,0.963
NDP,2019,0.963
NDP,2020,0.963
NDP,2021,0.963
NDP,2022,0.978
NDP,2023,0.992
NDP,2024,1.007
NDP,2025,1.022
NDP,2026,1.037
NDP,2027,1.051
NDP,2028,1.066
NDP,2029,1.081
NDP,2030,1.096
NDP,2031,1.11
NDP,2032,1.125
NDP,2033,1.14
NDP,2034,1.155
NDP,2035,1.169
NDP,2036,1.184
NDP,2037,1.199
NDP,2038,1.214
NDP,2039,1.228
NDP,2040,1.243
NDP,2041,1.258
NDP,2042,1.272
NDP,2043,1.287
NDP,2044,1.302
NDP,2045,1.317
NDP,2046,1.331
NDP,2047,1.346
NDP,2048,1.361
NDP,2049,1.376
NDP,2050,1.39
