Strategy,Year,SpecifiedAnnualDemand
BAU,2015,0.2336
BAU,2016,0.253
BAU,2017,0.274
BAU,2018,0.2967
BAU,2019,0.3214
BAU,2020,0.348
BAU,2021,0.3759
BAU,2022,0.4059
BAU,2023,0.4384
BAU,2024,0.4735
BAU,2025,0.5114
BAU,2026,0.5472
BAU,2027,0.5855
BAU,2028,0.6264
BAU,2029,0.6703
BAU,2030,0.7172
BAU,2031,0.7674
BAU,2032,0.8211
BAU,2033,0.8786
BAU,2034,0.9401
BAU,2035,1.0059
BAU,2036,1.0764
BAU,2037,1.1517
BAU,2038,1.2323
BAU,2039,1.3186
BAU,2040,1.4109
BAU,2041,1.5096
BAU,2042,1.6153
BAU,2043,1.7284
BAU,2044,1.8494
BAU,2045,1.9788
BAU,2046,2.1174
BAU,2047,2.2656
BAU,2048,2.4242
BAU,2049,2.5938
BAU,2050,2.7754
NDP,2015,0.2336
NDP,2016,0.253
NDP,2017,0.274
NDP,2018,0.2967
NDP,2019,0.3214
NDP,2020,0.348
NDP,2021,0.3581
NDP,2022,0.3685
NDP,2023,0.3792
NDP,2024,0.3902
NDP,2025,0.4015
NDP,2026,0.4131
NDP,2027,0.4251
NDP,2028,0.4375
NDP,2029,0.4501
NDP,2030,0.4632
NDP,2031,0.4766
NDP,2032,0.4905
NDP,2033,0.5047
NDP,2034,0.5193
NDP,2035,0.5344
NDP,2036,0.5499
NDP,2037,0.5658
NDP,2038,0.5822
NDP,2039,0.5991
NDP,2040,0.6165
NDP,2041,0.6344
NDP,2042,0.6528
NDP,2043,0.6717
NDP,2044,0.6912
NDP,2045,0.7112
NDP,2046,0.7318
NDP,2047,0.7531
NDP,2048,0.7749
NDP,2049,0.7974
NDP,2050,0.8205
