Strategy,Year,TotalTechnologyAnnualActivityLowerLimit
BAU,,
BAU,2015,0
BAU,2016,0.00124
BAU,2017,0.00246
BAU,2018,0.00368
BAU,2019,0.00487
BAU,2020,0.00605
BAU,2021,0.0072
BAU,2022,0.00834
BAU,2023,0.00946
BAU,2024,0.01056
BAU,2025,0.01163
BAU,2026,0.01269
BAU,2027,0.01373
BAU,2028,0.01474
BAU,2029,0.01574
BAU,2030,0.01671
BAU,2031,0.01767
BAU,2032,0.01861
BAU,2033,0.01953
BAU,2034,0.02046
BAU,2035,0.02137
BAU,2036,0.02226
BAU,2037,0.02313
BAU,2038,0.02398
BAU,2039,0.02481
BAU,2040,0.02562
BAU,2041,0.02641
BAU,2042,0.02717
BAU,2043,0.02792
BAU,2044,0.02864
BAU,2045,0.02934
BAU,2046,0.03002
BAU,2047,0.03068
BAU,2048,0.03131
BAU,2049,0.03193
BAU,2050,0.03252
NDP,,
NDP,2015,0
NDP,2016,0.001238
NDP,2017,0.002464
NDP,2018,0.003675
NDP,2019,0.00487
NDP,2020,0.006047
NDP,2021,0.00715
NDP,2022,0.008232
NDP,2023,0.009293
NDP,2024,0.010333
NDP,2025,0.01135
NDP,2026,0.012345
NDP,2027,0.013316
NDP,2028,0.014263
NDP,2029,0.015187
NDP,2030,0.016088
NDP,2031,0.016964
NDP,2032,0.017817
NDP,2033,0.018646
NDP,2034,0.019482
NDP,2035,0.020293
NDP,2036,0.021078
NDP,2037,0.021837
NDP,2038,0.022568
NDP,2039,0.023272
NDP,2040,0.023947
NDP,2041,0.024592
NDP,2042,0.025208
NDP,2043,0.025792
NDP,2044,0.026345
NDP,2045,0.026866
NDP,2046,0.026569
NDP,2047,0.026244
NDP,2048,0.025891
NDP,2049,0.02551
NDP,2050,0.025102
