Strategy,Year,EmissionActivityRatio
BAU,,
BAU,2015,3.078
BAU,2016,3.088
BAU,2017,3.099
BAU,2018,3.11
BAU,2019,3.122
BAU,2020,3.134
BAU,2021,3.147
BAU,2022,3.161
BAU,2023,3.175
BAU,2024,3.19
BAU,2025,3.205
BAU,2026,3.221
BAU,2027,3.238
BAU,2028,3.255
BAU,2029,3.273
BAU,2030,3.292
BAU,2031,3.31
BAU,2032,3.33
BAU,2033,3.35
BAU,2034,3.369
BAU,2035,3.389
BAU,2036,3.41
BAU,2037,3.431
BAU,2038,3.452
BAU,2039,3.475
BAU,2040,3.497
BAU,2041,3.521
BAU,2042,3.545
BAU,2043,3.569
BAU,2044,3.594
BAU,2045,3.62
BAU,2046,3.647
BAU,2047,3.674
BAU,2048,3.701
BAU,2049,3.73
BAU,2050,3.759
NDP,,
NDP,2015,3.078
NDP,2016,3.019
NDP,2017,2.961
NDP,2018,2.906
NDP,2019,2.853
NDP,2020,2.802
NDP,2021,2.752
NDP,2022,2.704
NDP,2023,2.658
NDP,2024,2.614
NDP,2025,2.571
NDP,2026,2.529
NDP,2027,2.489
NDP,2028,2.45
NDP,2029,2.412
NDP,2030,2.375
NDP,2031,2.339
NDP,2032,2.305
NDP,2033,2.271
NDP,2034,2.238
NDP,2035,2.205
NDP,2036,2.174
NDP,2037,2.143
NDP,2038,2.113
NDP,2039,2.084
NDP,2040,2.055
NDP,2041,2.027
NDP,2042,2
NDP,2043,1.974
NDP,2044,1.948
NDP,2045,1.923
NDP,2046,1.899
NDP,2047,1.875
NDP,2048,1.851
NDP,2049,1.829
NDP,2050,1.806
