Strategy,Year,TotalTechnologyAnnualActivityLowerLimit
BAU,,
BAU,2015,0
BAU,2016,0.00033
BAU,2017,0.00066
BAU,2018,0.00098
BAU,2019,0.00129
BAU,2020,0.00161
BAU,2021,0.00191
BAU,2022,0.00221
BAU,2023,0.00251
BAU,2024,0.00279
BAU,2025,0.00308
BAU,2026,0.00335
BAU,2027,0.00362
BAU,2028,0.00389
BAU,2029,0.00415
BAU,2030,0.0044
BAU,2031,0.00465
BAU,2032,0.00489
BAU,2033,0.00513
BAU,2034,0.00537
BAU,2035,0.0056
BAU,2036,0.00583
BAU,2037,0.00605
BAU,2038,0.00627
BAU,2039,0.00648
BAU,2040,0.00669
BAU,2041,0.00689
BAU,2042,0.00708
BAU,2043,0.00727
BAU,2044,0.00745
BAU,2045,0.00763
BAU,2046,0.0078
BAU,2047,0.00796
BAU,2048,0.00812
BAU,2049,0.00827
BAU,2050,0.00841
NDP,,
NDP,2015,0
NDP,2016,0.00033
NDP,2017,0.000656
NDP,2018,0.000977
NDP,2019,0.001294
NDP,2020,0.001605
NDP,2021,0.005731
NDP,2022,0.009877
NDP,2023,0.014039
NDP,2024,0.018214
NDP,2025,0.022398
NDP,2026,0.026589
NDP,2027,0.030782
NDP,2028,0.034975
NDP,2029,0.039164
NDP,2030,0.043348
NDP,2031,0.047522
NDP,2032,0.051684
NDP,2033,0.055832
NDP,2034,0.059988
NDP,2035,0.064126
NDP,2036,0.068241
NDP,2037,0.072332
NDP,2038,0.076396
NDP,2039,0.080428
NDP,2040,0.084425
NDP,2041,0.088385
NDP,2042,0.092303
NDP,2043,0.096178
NDP,2044,0.100004
NDP,2045,0.10378
NDP,2046,0.10344
NDP,2047,0.103066
NDP,2048,0.102659
NDP,2049,0.102221
NDP,2050,0.101752
