Strategy,Year,TotalTechnologyAnnualActivityLowerLimit
BAU,,
BAU,2015,0
BAU,2016,0.01932
BAU,2017,0.038
BAU,2018,0.05732
BAU,2019,0.07792
BAU,2020,0.09883
BAU,2021,0.12005
BAU,2022,0.14205
BAU,2023,0.1649
BAU,2024,0.1887
BAU,2025,0.21352
BAU,2026,0.23718
BAU,2027,0.26173
BAU,2028,0.28727
BAU,2029,0.31389
BAU,2030,0.34167
BAU,2031,0.37073
BAU,2032,0.40117
BAU,2033,0.43311
BAU,2034,0.46692
BAU,2035,0.50246
BAU,2036,0.53988
BAU,2037,0.57932
BAU,2038,0.62093
BAU,2039,0.66488
BAU,2040,0.71135
BAU,2041,0.76052
BAU,2042,0.8126
BAU,2043,0.86781
BAU,2044,0.92639
BAU,2045,0.98857
BAU,2046,1.05464
BAU,2047,1.12488
BAU,2048,1.19959
BAU,2049,1.27912
BAU,2050,1.36381
NDP,,
NDP,2015,0
NDP,2016,0.019319
NDP,2017,0.038002
NDP,2018,0.057315
NDP,2019,0.077921
NDP,2020,0.098826
NDP,2021,0.102491
NDP,2022,0.106156
NDP,2023,0.109822
NDP,2024,0.113487
NDP,2025,0.117152
NDP,2026,0.120817
NDP,2027,0.124483
NDP,2028,0.128148
NDP,2029,0.131813
NDP,2030,0.135479
NDP,2031,0.146182
NDP,2032,0.157195
NDP,2033,0.168529
NDP,2034,0.18019
NDP,2035,0.19219
NDP,2036,0.204538
NDP,2037,0.217244
NDP,2038,0.230319
NDP,2039,0.243772
NDP,2040,0.257616
NDP,2041,0.271861
NDP,2042,0.28652
NDP,2043,0.301603
NDP,2044,0.317124
NDP,2045,0.333095
NDP,2046,0.349529
NDP,2047,0.36644
NDP,2048,0.383841
NDP,2049,0.401747
NDP,2050,0.420172
