Strategy,Year,EmissionActivityRatio
BAU,,
BAU,2015,0.325
BAU,2016,0.305
BAU,2017,0.286
BAU,2018,0.268
BAU,2019,0.251
BAU,2020,0.235
BAU,2021,0.221
BAU,2022,0.207
BAU,2023,0.195
BAU,2024,0.183
BAU,2025,0.172
BAU,2026,0.163
BAU,2027,0.154
BAU,2028,0.146
BAU,2029,0.138
BAU,2030,0.131
BAU,2031,0.124
BAU,2032,0.117
BAU,2033,0.111
BAU,2034,0.105
BAU,2035,0.099
BAU,2036,0.094
BAU,2037,0.088
BAU,2038,0.084
BAU,2039,0.079
BAU,2040,0.075
BAU,2041,0.071
BAU,2042,0.067
BAU,2043,0.063
BAU,2044,0.059
BAU,2045,0.056
BAU,2046,0.053
BAU,2047,0.05
BAU,2048,0.047
BAU,2049,0.045
BAU,2050,0.042
NDP,,
NDP,2015,0.325
NDP,2016,0.298
NDP,2017,0.273
NDP,2018,0.25
NDP,2019,0.23
NDP,2020,0.21
NDP,2021,0.193
NDP,2022,0.178
NDP,2023,0.163
NDP,2024,0.15
NDP,2025,0.138
NDP,2026,0.128
NDP,2027,0.118
NDP,2028,0.11
NDP,2029,0.102
NDP,2030,0.094
NDP,2031,0.087
NDP,2032,0.081
NDP,2033,0.075
NDP,2034,0.069
NDP,2035,0.064
NDP,2036,0.06
NDP,2037,0.055
NDP,2038,0.051
NDP,2039,0.047
NDP,2040,0.044
NDP,2041,0.041
NDP,2042,0.038
NDP,2043,0.035
NDP,2044,0.032
NDP,2045,0.03
NDP,2046,0.028
NDP,2047,0.026
NDP,2048,0.024
NDP,2049,0.022
NDP,2050,0.02
